Sample ID/Group/Community,Master ID,Skeletal code,Skeletal element,Data type,14C date(s) that are newly published in this study,Published Study,Associated authors if this is a newly reported sample,Average Confidence Interval Date,Dating,Broad chronological / archaeological period,Analysis Label (grouping individuals of similar ancestry across diverse regions),Split Label  (grouping individuals of similar ancestry by site),Passed all analysis filters,Location,Country,Broad Geographic Region (Genetic clustering may sometimes differ),Latitude,Longitude,Gender,mtDNA haplogroup,Y chromosome haplogroup,Y chromosome determination strategy,"Whole genome average coverage across 1,150,639 targeted autosomal SNPs","Whole genome SNPs (number of 1,150,639 targeted autosomal SNPs covered by at least once sequence)",X-contamination point estimate from ANGSD on non-damage-restricted data if male and ≥200 SNPs,X-contamination Z-score from ANGSD on non-damage-restricted data if male and ≥200 SNPs,Library ID(s),UDG treatment by library (minus=untreated; half=treated except in last nucleotides; plus=treated over all nucleotides),damage by library in sequences aligning to nuclear targets,mtDNA match rate to consensus by library (for all sequences and thus without damage restriction),"Assessment of data quality (notes in parentheses included if match rate to the mtDNA consensus sequence is <0.95 or X chromosome contamination estimate in males is significantly non-zero, or ratio of sequences matching Y and X chromosome is unexpected for a male or female)"
I0507,I0507,"KzHS7, individual 1, Dali 1, burial 1 ",bone (phalanx),separate nuclear and mtDNA target enrichment,"1871-1636 calBCE (3420±30 BP, Beta-391199)",This study,Michael Frachetti,3704,"1871-1636 calBCE (3420±30 BP, Beta-391199)",MLBA,Steppe_MLBA_oWSHG,Dali_MLBA,Yes,"Byan Zherek, eastern spur, Dali",Kazakhstan,Forest / Steppe,45.13237778,79.36439444,M,U5a1a2a,R1a1a1b2a2a,automatic,2.114,872974,0.006149,3.537217581,S0507.E1.L1,half,..,..,PASS (Xcontam=0.006)
I3448,I3448,"DL-BR1-B, CTX 2-B3, #21, individual 2, Dali 1, burial 1 ",bone (phalanx),separate nuclear and mtDNA target enrichment,no 14C date,This study,Michael Frachetti,3700,"1900-1600 BCE [layer date of another sample from the same grave at 1871-1636 calBCE (3420±30 BP, Beta-391199)]",MLBA,Steppe_MLBA_oWSHG,Dali_MLBA,Yes,"Byan Zherek, eastern spur, Dali",Kazakhstan,Forest / Steppe,45.13237778,79.36439444,F,..,n/a (female),n/a (female),0.350632,323601,n/a (female),n/a (female),"S3448.E1.L1,S3448.E1.L3,S3448.E1.L2","half,half,half","0.049,0.052,0.055","0.971,0.99,0.983",PASS
I4263,I4263,"KZ-KAR-004, Karagash 1994, КВ. 1A. (Quad 1A), Grave 1",petrous,separate nuclear and mtDNA target enrichment,"1861-1639 calBCE (3415±25 BP, PSUAMS-2123)",This study,Michael Frachetti,3700,"1861-1639 calBCE (3415±25 BP, PSUAMS-2123)",MLBA,Western_Steppe_MLBA,Karagash_MLBA,Yes,Karagash 2,Kazakhstan,Forest / Steppe,48.78176667,76.45303333,M,U5a1d2b,R1a1a1b2a2a,automatic,1.085,499717,0.00434,1.94197695,S4263.E1.L1,half,0.072,0.993,PASS
I0431,I0431,"SVP40, Spiridonovka II, kurgan 1, grave 2",bone (long bone),separate nuclear and mtDNA target enrichment,no 14C date,This study (supplement of MathiesonNature2018),"Alexander Khokhlov, David Anthony",3675,1850-1600 BCE,MLBA,Western_Steppe_MLBA,Srubnaya,Yes,"Samara, Samara River, Spiridonovka II",Russia,Forest / Steppe,53.08,50.36,F,H2b,n/a (female),n/a (female),0.265684,253515,n/a (female),n/a (female),"S0431.E1.L1,S0431.E2.L1,S0431.E2.L2","half,half,half","0.06,0.061,0.057","0.997,1,0.999",PASS
I0235,I0235,SVP26,bone (long bone),separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2015,n/a (previously reported),3675,1850-1600 BCE,MLBA,Western_Steppe_MLBA,Srubnaya,Yes,"Samara, Samara Steppes, Rozhdestveno I",Russia,Forest / Steppe,53.14,50.01,F,K1b2a,n/a (female),n/a (female),0.424653,384315,n/a (female),n/a (female),"S0235.E1.L2,S0235.E2.L2","half,half","0.089,0.046","0.984,0.996",PASS
I0234,I0234,"SVP HB 25, K. 5, gr. 7",bone (long bone),separate nuclear and mtDNA target enrichment,no 14C date,MathiesonNature2015,n/a (previously reported),3675,1850-1600 BCE,MLBA,Western_Steppe_MLBA,Srubnaya,Yes,"Samara, Samara Steppes, Rozhdestveno I",Russia,Forest / Steppe,53.14,50.01,F,I1a1,n/a (female),n/a (female),0.513,451400,n/a (female),n/a (female),S0234.E1.L2,half,0.103,0.996,PASS
I0424,I0424,"SVP32, Uvarovka I, kurgan 2, grave 1",bone (long bone),separate nuclear and mtDNA target enrichment,no 14C date,This study (supplement of MathiesonNature2018),"Alexander Khokhlov, David Anthony",3675,1850-1600 BCE,MLBA,Western_Steppe_MLBA,Srubnaya,Yes,"Samara, Samara River, Uvarovka I",Russia,Forest / Steppe,53.12,48.37,M,T2b4,R1a1a1b2,manual,0.818094,619183,0.015252,2.644710873,"S0424.E1.L1,S0424.E2.L1,S0424.E2.L2","half,half,half","..,0.055,0.052","0.993,0.998,1",PASS (Xcontam=0.015)
I0430,I0430,"SVP39, Spiridonovka II, kurgan 1, grave 1",bone (long bone),separate nuclear and mtDNA target enrichment,no 14C date,This study (supplement of MathiesonNature2018),"Alexander Khokhlov, David Anthony",3675,1850-1600 BCE,MLBA,Western_Steppe_MLBA,Srubnaya,Yes,"Samara, Samara River, Spiridonovka II",Russia,Forest / Steppe,53.08,50.36,M,H3g,R1a1a1b2a2a,manual,4.494341,978891,0.004555,4.645985588,"S0430.E1.L1,S0430.E2.L1,S0430.E2.L2","half,half,half","..,0.044,0.042","0.995,0.995,0.998",PASS (Xcontam=0.005)
I0421,I0421,"SVP29, Spiridonovka II, kurgan 11, grave 12",bone (long bone),separate nuclear and mtDNA target enrichment,no 14C date,This study (supplement of MathiesonNature2018),"Alexander Khokhlov, David Anthony",3675,1850-1600 BCE,MLBA,Western_Steppe_MLBA_1d.rel.I0430,Srubnaya_1d.rel.I0430,No,"Samara, Samara River, Spiridonovka II",Russia,Forest / Steppe,53.08,50.36,F,H3g,n/a (female),n/a (female),0.183659,190316,n/a (female),n/a (female),"S0421.E1.L1,S0421.E2.L1,S0421.E2.L2","half,half,half","0.051,0.07,0.06","1,0.999,0.998",PASS
I4776,I4776,"KZ-KAN005, Kairan I, Enclosure 5, Grave 2 ",petrous,separate nuclear and mtDNA target enrichment,"1767-1658 calBCE (3415±20 BP, PSUAMS-2912)",This study,Michael Frachetti,3663,"1767-1658 calBCE (3415±20 BP, PSUAMS-2912)",MLBA,Western_Steppe_MLBA,Kairan_MLBA,Yes,Kairan,Kazakhstan,Forest / Steppe,48.74175,76.99573333,F,U5b2a1a2,n/a (female),n/a (female),4.234,773829,n/a (female),n/a (female),S4776.E1.L1,half,..,0.993,PASS
I4318,I4318,"KZ-KAN-002 + KZ-KAY-002, Kairan I, Enclosure 7b ",petrous,separate nuclear and mtDNA target enrichment,"1767-1658 calBCE (3415±20 BP, PSUAMS-2961)",This study,Michael Frachetti,3663,"1767-1658 calBCE (3415±20 BP, PSUAMS-2961)",MLBA,Western_Steppe_MLBA,Kairan_MLBA,Yes,Kairan,Kazakhstan,Forest / Steppe,48.74175,76.99573333,F,J2b1a2,n/a (female),n/a (female),5.152,863091,n/a (female),n/a (female),"S4318.E1.L1,S4320.E1.L1","half,half","0.13,0.075","0.998,0.996",PASS
I6800,I6800,"Tomsk_4387, inventory number 4387, Kurgan 1, burial 1",petrous,separate nuclear and mtDNA target enrichment,"1767-1658 calBCE (3415±20 BP, PSUAMS-2942)",This study,"Sergey Mikhailovich Slepchenko, Anatoly Nikolaevich Bagashev",3663,"1767-1658 calBCE (3415±20 BP, PSUAMS-2942)",MLBA,Western_Steppe_MLBA,Lisakovskiy_MLBA_Alakul,Yes,Lisakovskiy,Kazakhstan,Forest / Steppe,52.61,62.69,F,H3g,n/a (female),n/a (female),1.315554,711231,n/a (female),n/a (female),S6800.E1.L1,half,0.093,0.991,PASS
I4780,I4780,"KZ-KAR009, Kairan I, Enclosure 7a, Grave 1 ",petrous,separate nuclear and mtDNA target enrichment,"1754-1642 calBCE (3410±20 BP, PSUAMS-2913)",This study,Michael Frachetti,3648,"1754-1642 calBCE (3410±20 BP, PSUAMS-2913)",MLBA,Steppe_MLBA_oWSHG,Kairan_MLBA_o,Yes,Kairan,Kazakhstan,Forest / Steppe,48.74175,76.99573333,F,U2e1b,n/a (female),n/a (female),0.294723,263269,n/a (female),n/a (female),"S4780.E1.L1,S4780.E1.L2,S4780.E1.L3,S4780.E1.L4,S4780.E1.L5,S4780.E1.L6","half,half,half,half,half,half","0.16,0.19,0.182,0.116,0.187,0.186","0.93,0.994,1,0.947,0.96,0.959",QUESTIONABLE (mtcontam=0.930-1.000)
I7412,I7412,"UZ-JAR-018, Jarkutan 4a 1977, Grave 673, 57-25 ",petrous,separate nuclear and mtDNA target enrichment,"1749-1642 calBCE (3405±20 BP, PSUAMS-3228)",This study,"Michael Frachetti, Julio Bendezu-Sarmiento",3646,"1749-1642 calBCE (3405±20 BP, PSUAMS-3228)",BA,BMAC,Dzharkutan1_BA,Yes,Dzharkutan,Uzbekistan,Iran / Turan,37.75,67,F,H+16311,n/a (female),n/a (female),1.095567,654512,n/a (female),n/a (female),S7412.E1.L1,half,0.17,1,PASS
I6795,I6795,"Tomsk_4350, inventory number 4350, Kurgan 36a, burial 1",petrous,separate nuclear and mtDNA target enrichment,"1749-1642 calBCE (3405±20 BP, PSUAMS-2927)",This study,"Sergey Mikhailovich Slepchenko, Anatoly Nikolaevich Bagashev",3646,"1749-1642 calBCE (3405±20 BP, PSUAMS-2927)",MLBA,Steppe_MLBA_oWSHG,Maitan_MLBA_Alakul_o,Yes,Maitan,Kazakhstan,Forest / Steppe,50.09,74.44,F,T2e2,n/a (female),n/a (female),4.317369,851892,n/a (female),n/a (female),S6795.E1.L1,half,0.083,0.994,PASS
I4568,I4568,"KZ-KAR-006, Kairan I, Enclosure 11, Grave 3 ",tooth,separate nuclear and mtDNA target enrichment,"1745-1636 calBCE (3395±20 BP, PSUAMS-2546)",This study,Michael Frachetti,3641,"1745-1636 calBCE (3395±20 BP, PSUAMS-2546)",MLBA,Western_Steppe_MLBA,Kairan_MLBA,Yes,Kairan,Kazakhstan,Forest / Steppe,48.74175,76.99573333,M,T1a1,R1(xR1b),manual,0.199563,208845,n/a (<200 SNPs),n/a (<200 SNPs),"S4568.E1.L1,S4568.E1.L2,S4568.E1.L3","half,half,half","0.095,0.074,0.086","1,1,1",PASS
I4779,I4779,"KZ-KAR005, Kairan I, Enclosure 11, Grave 3 ",petrous,separate nuclear and mtDNA target enrichment,"1745-1636 calBCE (3395±20 BP, PSUAMS-2939)",This study,Michael Frachetti,3641,"1745-1636 calBCE (3395±20 BP, PSUAMS-2939)",MLBA,Western_Steppe_MLBA,Kairan_MLBA,Yes,Kairan,Kazakhstan,Forest / Steppe,48.74175,76.99573333,F,H27+16093,n/a (female),n/a (female),2.395,727580,n/a (female),n/a (female),S4779.E1.L1,half,..,0.981,PASS
I6793,I6793,"Tomsk_4346, inventory number 4346, Kurgan 27a, burial 1",petrous,separate nuclear and mtDNA target enrichment,"1745-1636 calBCE (3395±20 BP, PSUAMS-2925)",This study,"Sergey Mikhailovich Slepchenko, Anatoly Nikolaevich Bagashev",3641,"1745-1636 calBCE (3395±20 BP, PSUAMS-2925)",MLBA,Western_Steppe_MLBA,Maitan_MLBA_Alakul,Yes,Maitan,Kazakhstan,Forest / Steppe,50.09,74.44,M,HV6,R1a1a1b,automatic,4.057975,854228,0.002384,2.584893811,S6793.E1.L1,half,0.082,0.987,PASS (Xcontam=0.002)
I4319,I4319,"KZ-KAR-010, Kairan I, Enclosure 10 ",petrous,separate nuclear and mtDNA target enrichment,"1746-1630 calBCE (3395±25 BP, PSUAMS-2543)",This study,Michael Frachetti,3638,"1746-1630 calBCE (3395±25 BP, PSUAMS-2543)",MLBA,Steppe_LBA_LowCov,Kairan_MLBA_o_LowCov,No,Kairan,Kazakhstan,Forest / Steppe,48.74175,76.99573333,M,..,BT,automatic,0.006,7159,n/a (<200 SNPs),n/a (<200 SNPs),S4319.E1.L1,half,0.101,n/a (mtDNA coverage <2x),PASS
I4567,I4567,"KZ-KAN-006 , Kairan I, Enclosure 1, Grave 1 ",tooth (molar),separate nuclear and mtDNA target enrichment,"1743-1631 calBCE (3390±20 BP, PSUAMS-2545)",This study,Michael Frachetti,3637,"1743-1631 calBCE (3390±20 BP, PSUAMS-2545)",MLBA,Western_Steppe_MLBA,Kairan_MLBA,Yes,Kairan,Kazakhstan,Forest / Steppe,48.74175,76.99573333,M,U4a1,R,automatic,0.183085,195944,n/a (<200 SNPs),n/a (<200 SNPs),"S4567.E1.L1,S4567.E1.L2,S4567.E1.L3","half,half,half","0.101,0.068,0.061","0.999,1,0.999",PASS
RISE505.SG,RISE505,6652-42,tooth,Shotgun data with a random sequence representing each nucleotide,previously published 14C date,AllentoftNature2015,n/a (previously reported),3636,"1746-1626 calBCE (3391±27 BP, OxA-31216)",MLBA,Russia_Andronovo.SG,Russia_Andronovo.SG,Yes,Kytmanovo,Russia,Forest / Steppe,53.456,85.447,F,U4a1b,n/a (female),n/a (female),5.277,1122100,n/a (female),n/a (female),..,minus,..,..,PASS
I4323,I4323,"KZ-KUZ-002, Kyzylbulak 1, burial 45",petrous,separate nuclear and mtDNA target enrichment,"1741-1627 calBCE (3385±20 BP, PSUAMS-2963)",This study,Michael Frachetti,3634,"1741-1627 calBCE (3385±20 BP, PSUAMS-2963)",MLBA,Central_Steppe_MLBA,Kyzlbulak_MLBA1,Yes,Kyzyl Bulak 1,Kazakhstan,Forest / Steppe,43.24655,77.813814,F,U2e1'2'3,n/a (female),n/a (female),3.501,730820,n/a (female),n/a (female),S4323.E1.L1,half,0.089,0.993,PASS
I11538,I11538,"Kurgan 2, burial 1",petrous,simultaneous enrichment of nuclear and mtDNA targets (1st formulation),no 14C date,This study,"Michael Frachetti, Egor Kitov, Gaziz Akhatov, Antonina Yermolayeva, Vitaliy V. Tkachev",3631,"1738-1623 calBCE (3375±20 BP, PSUAMS-5722)",LBA,Chanchar_LBA,Chanchar_LBA,Yes,Chanchar,Kazakhstan,Forest / Steppe,50.66865833,57.71856944,F,U5b2b,n/a (female),n/a (female),3.568355,733397,n/a (female),n/a (female),S11538.E1.L1,half,0.126,0.991,PASS
I8506,I8506,"MOS309, 1955, Kokcha 3 1955, Grave N77, IE-60-I9",petrous,separate nuclear and mtDNA target enrichment,"1738-1623 calBCE (3375±20 BP, PSUAMS-5275)",This study,Sergey Vasilyev,3631,"1738-1623 calBCE (3375±20 BP, PSUAMS-5275)",MLBA,Steppe_MLBA_oBMAC,Kokcha_BA,Yes,Kokcha 3,Uzbekistan,Forest / Steppe,40.54,64.99,M,T,Q1a1b1,automatic,0.707453,551548,0.013015,2.275626147,S8506.E1.L1,half,0.072,0.973,PASS (Xcontam=0.013)
I4312,I4312,"UZ-JAR-001, Jarkutan 4a 1976, Grave 401 ",petrous,separate nuclear and mtDNA target enrichment,"1736-1621 calBCE (3370±20 BP, PSUAMS-2516)",This study,"Michael Frachetti, Julio Bendezu-Sarmiento",3629,"1736-1621 calBCE (3370±20 BP, PSUAMS-2516)",BA,BMAC,Dzharkutan1_BA,Yes,Dzharkutan,Uzbekistan,Iran / Turan,37.75,67,F,HV2a,n/a (female),n/a (female),1.89,662617,n/a (female),n/a (female),S4312.E1.L1,half,0.155,0.991,PASS
I4782,I4782,"KZ-KAZ-004, Kazakh Mys 2015, Area 6, Grave 1 ",petrous,separate nuclear and mtDNA target enrichment,"1736-1621 calBCE (3370±20 BP, PSUAMS-2915)",This study,Michael Frachetti,3629,"1736-1621 calBCE (3370±20 BP, PSUAMS-2915)",MLBA,Central_Steppe_MLBA,Kazakh_Mys_MLBA,Yes,Kazakh Mys,Kazakhstan,Forest / Steppe,46.94785,79.98808333,F,U5b2b,n/a (female),n/a (female),4.271,771240,n/a (female),n/a (female),S4782.E1.L1,half,0.081,0.995,PASS
I3860,I3860,"BI No 20, Grave 24, Section D-4",tooth,separate nuclear and mtDNA target enrichment,"1734-1617 calBCE (3365±20 BP, PSUAMS-2492)",This study,"Carles Lalueza-Fox, David Pettener, Gian Luca Bonora, Stefania Sarno",3626,"1734-1617 calBCE (3365±20 BP, PSUAMS-2492)",MLBA,Steppe_MLBA_oWSHG,Oy_Dzhaylau_MLBA_o,Yes,Oy-Dzhaylau III,Kazakhstan,Forest / Steppe,42.68943333,73.11748333,M,R1b1,R1a1a1b2a2a,automatic,0.264,238218,n/a (<200 SNPs),n/a (<200 SNPs),S3860.E1.L1,half,0.04,1,PASS
I3391,I3391,"StPet59, collection 3390, individual 6",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,Vyacheslav Moiseyev,3600,1900-1400 BCE,MLBA,Central_Steppe_MLBA,Krasnoyarsk_MLBA,Yes,"Krasnoyarsk Krai, near Orak Ulus, Orak burial place",Russia,Forest / Steppe,55.1924,89.3053,M,U5b2c,R1a1a1b2,automatic,1.932,774254,0.009238,4.943210336,S3391.E1.L2,half,0.076,0.992,PASS (Xcontam=0.009)
I3392,I3392,"StPet60, collection 3390, individual 7",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,Vyacheslav Moiseyev,3600,1900-1400 BCE,MLBA,Central_Steppe_MLBA,Krasnoyarsk_MLBA,Yes,"Krasnoyarsk Krai, near Orak Ulus, Orak burial place",Russia,Forest / Steppe,55.1924,89.3053,M,U2e2a1d,R1a1a1b,automatic,2.188,777732,0.004206,3.308617036,S3392.E1.L2,half,0.077,0.99,PASS (Xcontam=0.004)
I3396,I3396,"StPet65, collection 3864, individual 5",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,Vyacheslav Moiseyev,3600,1900-1400 BCE,MLBA,Central_Steppe_MLBA,Krasnoyarsk_MLBA,Yes,"Krasnoyarsk Krai, near Orak Ulus, Orak burial place",Russia,Forest / Steppe,55.1924,89.3053,M,T2b34,R1a1a1b1a2b1,automatic,3.483,789432,0.004159,4.260276136,S3396.E1.L2,half,0.046,0.995,PASS (Xcontam=0.004)
I3390,I3390,"StPet57, collection 3390, individual 2",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,Vyacheslav Moiseyev,3600,1900-1400 BCE,MLBA,Central_Steppe_MLBA,Krasnoyarsk_MLBA,Yes,"Krasnoyarsk Krai, near Orak Ulus, Orak burial place",Russia,Forest / Steppe,55.1924,89.3053,F,U5a2+16294,n/a (female),n/a (female),3.367,792629,n/a (female),n/a (female),S3390.E1.L2,half,0.073,0.994,PASS
I3395,I3395,"StPet63, collection 3864, individual 3",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,Vyacheslav Moiseyev,3600,1900-1400 BCE,MLBA,Central_Steppe_MLBA,Krasnoyarsk_MLBA,Yes,"Krasnoyarsk Krai, near Orak Ulus, Orak burial place",Russia,Forest / Steppe,55.1924,89.3053,F,T1a1,n/a (female),n/a (female),3.779,801039,n/a (female),n/a (female),S3395.E1.L2,half,0.056,0.996,PASS
I3394,I3394,"StPet62, collection 3864, individual 2",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,Vyacheslav Moiseyev,3600,1900-1400 BCE,MLBA,Central_Steppe_MLBA,Krasnoyarsk_MLBA,Yes,"Krasnoyarsk Krai, near Orak Ulus, Orak burial place",Russia,Forest / Steppe,55.1924,89.3053,M,U4a1,R1a1a1b2a,automatic,2.759,811090,0.004147,3.878553665,S3394.E1.L2,half,..,0.99,PASS (Xcontam=0.004)
I3389,I3389,"StPet56, collection 3390, individual 4",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,Vyacheslav Moiseyev,3600,1900-1400 BCE,MLBA,Central_Steppe_MLBA,Krasnoyarsk_MLBA,Yes,"Krasnoyarsk Krai, near Orak Ulus, Orak burial place",Russia,Forest / Steppe,55.1924,89.3053,M,H27+16093,..,..,4.6,822898,0.003084,3.815294233,S3389.E1.L2,half,0.049,0.98,PASS (Xcontam=0.003)
I3393,I3393,"StPet61, collection 3864, individual 1",petrous,separate nuclear and mtDNA target enrichment,no 14C date,This study,Vyacheslav Moiseyev,3600,1900-1400 BCE,MLBA,Central_Steppe_MLBA_father.or.son.I6718,Krasnoyarsk_MLBA_father.or.son.I6718,No,"Krasnoyarsk Krai, near Orak Ulus, Orak burial place",Russia,Forest / Steppe,55.1924,89.3053,M,U5b2b,R1a1a1b,automatic,1.18,676099,0.010401,3.564988461,S3393.E1.L2,half,0.079,0.974,PASS (Xcontam=0.010)
I4566,I4566,"KZ-KAN-004, Kairan I, Enclosure 7a, Grave 2 ",tooth (molar),separate nuclear and mtDNA target enrichment,"1729-1563 calBCE (3350±20 BP, PSUAMS-2991)",This study,Michael Frachetti,3596,"1729-1563 calBCE (3350±20 BP, PSUAMS-2991)",MLBA,Steppe_MLBA_oWSHG,Kairan_MLBA_o,Yes,Kairan,Kazakhstan,Forest / Steppe,48.74175,76.99573333,F,Z1,n/a (female),n/a (female),0.328,307396,n/a (female),n/a (female),S4566.E1.L1,half,0.067,0.998,PASS
I6048,I6048,"Tomsk_2125, inventory number 2125, Kurgan 6",petrous,separate nuclear and mtDNA target enrichment,"1729-1563 calBCE (3350±20 BP, PSUAMS-2918)",This study,"Sergey Mikhailovich Slepchenko, Dmitri Enshin",3596,"1729-1563 calBCE (3350±20 BP, PSUAMS-2918)",MLBA,Western_Steppe_MLBA,Priobrazhenka_MLBA,Yes,Priobrazhenka 3,Russia,Forest / Steppe,55.51,77.05,F,H2a2a,n/a (female),n/a (female),0.025226,29317,n/a (female),n/a (female),S6048.E1.L1,half,0.17,0.739,QUESTIONABLE_CRITICAL (mtcontam=0.739)
I6716,I6716,"StPet55, collection 6141, individual 12",petrous,separate nuclear and mtDNA target enrichment,"1740-1614 calBCE (3370±25 BP, PSUAMS-3910); 1686-1534 calBCE (3335±20 BP, PSUAMS-4254)",This study,Vyacheslav Moiseyev,3587,"1740-1534 calBCE [1740-1614 calBCE (3370±25 BP, PSUAMS-3910), 1686-1534 calBCE (3335±20 BP, PSUAMS-4254)]",MLBA,Central_Steppe_MLBA,Krasnoyarsk_MLBA,Yes,"Krasnoyarsk Krai, near Orak Ulus, Orak burial place",Russia,Forest / Steppe,55.1924,89.3053,F,W1c,n/a (female),n/a (female),4.149442,832816,n/a (female),n/a (female),S6716.E1.L1,half,0.096,0.991,PASS
I3864,I3864,"DI No 59, Kurgan 4, Grave 3 or 4 ",tooth,separate nuclear and mtDNA target enrichment,"1728-1546 calBCE (3345±20 BP, PSUAMS-3183)",This study,"Carles Lalueza-Fox, David Pettener, Gian Luca Bonora, Stefania Sarno",3587,"1728-1546 calBCE (3345±20 BP, PSUAMS-3183)",MLBA,Western_Steppe_MLBA,Solyanka_MLBA,Yes,"Solyanka Vodokhranilische, West Kazakhstan ",Kazakhstan,Forest / Steppe,50.29194444,51.38694444,F,R1b1,n/a (female),n/a (female),0.517,379892,n/a (female),n/a (female),S3864.E1.L1,half,0.046,0.999,PASS
I4778,I4778,"KZ-KAR-003, KВ-1В (Quad 1V), Grave 2, 1994",petrous,separate nuclear and mtDNA target enrichment,"1728-1546 calBCE (3345±20 BP, PSUAMS-2611)",This study,Michael Frachetti,3587,"1728-1546 calBCE (3345±20 BP, PSUAMS-2611)",MLBA,Western_Steppe_MLBA_father.or.son.I4262,Karagash_MLBA_father.or.son.I4262,No,Karagash 2,Kazakhstan,Forest / Steppe,48.78176667,76.45303333,M,H7b,R1a1a1b2a2a,automatic,2.107,713982,0.008139,4.022045892,S4778.E1.L1,half,0.09,0.992,PASS (Xcontam=0.008)
RISE503.SG,RISE503,6652-41,tooth,Shotgun data with a random sequence representing each nucleotide,previously published 14C date,AllentoftNature2015,n/a (previously reported),3569,"1727-1511 calBCE (3328±38 BP, OxA-31445)",MLBA,Russia_Andronovo.SG,Russia_Andronovo.SG,Yes,Kytmanovo,Russia,Forest / Steppe,53.456,85.447,F,U2e2,n/a (female),n/a (female),0.879,653791,n/a (female),n/a (female),..,minus,..,..,PASS
I7411,I7411,"UZ-JAR-007, Jarkutan 4a 1976, Grave 384 ",petrous,separate nuclear and mtDNA target enrichment,"1686-1534 calBCE (3335±20 BP, PSUAMS-3227)",This study,"Michael Frachetti, Julio Bendezu-Sarmiento",3560,"1686-1534 calBCE (3335±20 BP, PSUAMS-3227)",BA,BMAC,Dzharkutan1_BA,Yes,Dzharkutan,Uzbekistan,Iran / Turan,37.75,67,F,T2c1a,n/a (female),n/a (female),1.253612,719490,n/a (female),n/a (female),S7411.E1.L1,half,0.14,0.992,PASS
I4264,I4264,"KZ-AKT-001, Object 7, burial enclosure 2, Grave 1",petrous,separate nuclear and mtDNA target enrichment,"1691-1528 calBCE (3335±30 BP, PSUAMS-2124)",This study,Michael Frachetti,3560,"1691-1528 calBCE (3335±30 BP, PSUAMS-2124)",MLBA,Western_Steppe_MLBA,Aktogai_MLBA,Yes,Aktogai,Kazakhstan,Forest / Steppe,46.96586667,80.03473333,F,T1a1,n/a (female),n/a (female),4.246,806683,n/a (female),n/a (female),S4264.E1.L1,half,0.111,0.996,PASS
I1856,I1856,"SS8993-9, Potroshilovo II, enclosure 5, grave 3",bone (cranial),separate nuclear and mtDNA target enrichment,"1685-1531 calBCE (3330±25 BP, PSUAMS-2067)",This study,"James Mallory, Svetlana Svyatko",3558,"1685-1531 calBCE (3330±25 BP, PSUAMS-2067)",MLBA,Central_Steppe_MLBA,Krasnoyarsk_MLBA,Yes,"Minusinsk Basin, Potroshilovo II",Russia,Forest / Steppe,53.87313333,91.46046667,M,K1a+195,R1a1a1b2a2a,automatic,1.642,717312,0.002581,1.950043821,S1856.E1.L1,half,0.044,0.989,PASS
I3788,I3788,BI (XIII-XI BCE) No21,tooth,separate nuclear and mtDNA target enrichment,"1683-1532 calBCE (3330±20 BP, PSUAMS-2499)",This study,"Carles Lalueza-Fox, David Pettener, Gian Luca Bonora, Stefania Sarno",3558,"1683-1532 calBCE (3330±20 BP, PSUAMS-2499)",MLBA,Central_Steppe_MLBA,Oy_Dzhaylau_MLBA,Yes,Oy-Dzhaylau III,Kazakhstan,Forest / Steppe,42.68943333,73.11748333,M,U4b1a1a,R1a1a1b2a2a,automatic,0.339,302934,0.002747,0.414248895,S3788.E1.L1,half,0.076,0.997,PASS
RISE500.SG,RISE500,6652-38,tooth,Shotgun data with a random sequence representing each nucleotide,no 14C date,AllentoftNature2015,n/a (previously reported),3550,1700-1500 BCE,MLBA,Russia_Andronovo.SG,Russia_Andronovo.SG,Yes,Kytmanovo,Russia,Forest / Steppe,53.456,85.447,F,U4d1,n/a (female),n/a (female),1.818,871809,n/a (female),n/a (female),..,minus,..,..,PASS
I11027,I11027,"UZ-BST-002, Site 7, Grave 33 (2), 44-92 ",petrous,simultaneous enrichment of nuclear and mtDNA targets (1st formulation),"1662-1521 calBCE (3315±25 BP, PSUAMS-6198)",This study,Michael Frachetti,3542,"1662-1521 calBCE (3315±25 BP, PSUAMS-6198)",BA,BMAC,Bustan_BA,Yes,Bustan,Uzbekistan,Iran / Turan,37.66666667,67,M,T2c,J2a1,automatic,2.414842,757100,0.003561,3.10047147,S11027.E1.L1,half,0.188,0.991,PASS (Xcontam=0.004)
I4321,I4321,"KZ-KAZ-003, Kazakh Mys 2015, Area 6, Grave 1 ",petrous,separate nuclear and mtDNA target enrichment,"1640-1527 calBCE (3310±20 BP, PSUAMS-2962)",This study,Michael Frachetti,3534,"1640-1527 calBCE (3310±20 BP, PSUAMS-2962)",MLBA,Central_Steppe_MLBA,Kazakh_Mys_MLBA,Yes,Kazakh Mys,Kazakhstan,Forest / Steppe,46.94785,79.98808333,F,J1c2m,n/a (female),n/a (female),3.651,737799,n/a (female),n/a (female),S4321.E1.L1,half,0.081,0.989,PASS
